Name,Family,Question,Answer,Fact,Source,Fruit image,Fruit image reference
Banana,Musaceae,Monkeys peel their bananas upside-down compared to humans,TRUE,The banana made its name after it was sold wrapped in aluminum foil for 10 cents in the 1876 Philadelphia World Fair.,https://www.thefactsite.com/banana-facts/,bananas.jpg,"Image by <a href=""https://pixabay.com/users/TheDigitalArtist-202249/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1119790"">Pete Linforth</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1119790"">Pixabay</a>"
Blackcurrant,Grossulariaceae,Leaves of blackcurrant are used as flavoring agents for producing some Vodka in Russia,TRUE,"Blackcurrant is used to make jams, jellies and syrups and is grown commercially for the juice market.",http://tonsoffacts.com/26-fun-interesting-facts-blackcurrant/,blackcurrants.jpg,"Image by <a href=""https://pixabay.com/users/PublicDomainImages-327722/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=387439"">PublicDomainImages</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=387439"">Pixabay</a>"
Blueberry,Ericaceae,The bell-shaped flowers of blueberries are blue,FALSE,"Humans are thought to have been eating blueberries for over 10,000 years.",http://tonsoffacts.com/26-fun-fascinating-facts-blueberries/,blueberries.jpg,"Image by <a href=""https://pixabay.com/users/congerdesign-509903/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2278921"">congerdesign</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2278921"">Pixabay</a>"
Chili pepper,Solanaceae,The Scoville Heat Unit (SHU) is the measure to quantify how spicy a pepper is,TRUE,The Carolina Reaper is the world's hostest chilli (2020).,https://pepperhead.com/top-10-worlds-hottest-peppers/,chillis.jpg,"Image by <a href=""https://pixabay.com/photos/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=801719"">Free-Photos</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=801719"">Pixabay</a>"
Cranberry,Ericaceae,Cranberries are harvested in summer,FALSE,Cranberry sauce is traditionally served with turkey during Thanksgiving in the US and Canada and in the UK for Christmas.,https://en.wikipedia.org/wiki/Cranberry,cranberry.jpg,"Image by <a href=""https://pixabay.com/users/12019-12019/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=93747"">David Mark</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=93747"">Pixabay</a>"
Eggplant,Solanaceae,"Eggplants belong to the same plant family as potatoes, tomatoes and chilli peppers",TRUE,Eggplants are thought to originate from India or Africa,https://en.wikipedia.org/wiki/Eggplant,aubergines.jpg,"Image by <a href=""https://pixabay.com/users/Benita5-5641102/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2514905"">Benita Welter</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2514905"">Pixabay</a>"
Gooseberry,Grossulariaceae,Gooseberries are a rich source of vitamin C,TRUE,Gooseberry bushes are a host plant for magpie moths and comma butterflies,https://en.wikipedia.org/wiki/Gooseberry,gooseberry.jpg,"Image by <a href=""https://pixabay.com/users/GLady-768/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=176450"">GLady</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=176450"">Pixabay</a>"
Grape,Vitaceae,Yeast naturally occurs in the skin of grapes,TRUE,Armenia is home to the earliest known winery at around 4000BC,https://en.wikipedia.org/wiki/Grape,grapes.jpg,"Image by <a href=""https://pixabay.com/users/JillWellington-334088/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=553464"">Jill Wellington</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=553464"">Pixabay</a>"
Guava,Myrtaceae,Guavas are a citrus fruit,FALSE,India is the biggest producer of guavas in the world,https://en.wikipedia.org/wiki/Guava,guavas.jpg,"Image by <a href=""https://pixabay.com/users/vinjomedia-7279167/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=5319014"">Vinod John</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=5319014"">Pixabay</a>"
Kiwifruit,Actinidiaceae,"The whole skin of kiwis is suitable for people to eat, despiet its fuzziness",TRUE,"In New Zealand, kiwifruit are marketed under the brand name Zespri",https://en.wikipedia.org/wiki/Kiwifruit,kiwi.jpg,"Image by <a href=""https://pixabay.com/users/Alexas_Fotos-686414/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3199462"">Alexas_Fotos</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3199462"">Pixabay</a>"
Lucuma,Sapotaceae,Lucuma has a custard-like flavour,TRUE,"In Peru, Lucuma is the most popular flavour for ice cream and has been known as 'Gold of the Incas'.",https://www.lucuma.com/lucuma-fruit,lucuma.jpg,https://free-images.com/display/lucuma_1.html
Pomegranate,Lythraceae,The ancient Egyptians regarded the pomegranate as a symbol of fertility,FALSE,"In a classical Greek myth, Persephone, daughter of Demeter, Goddess of the Harvest, is fed pomegranate seeds by Hades and is doomed to spend a fixed number of months in the underworld every year.",https://pantheon.org/articles/p/persephone.html,pomegranate.jpg,"Image by <a href=""https://pixabay.com/users/megspl-8890573/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3383814"">megspl</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3383814"">Pixabay</a>"
Redcurrant,Grossulariaceae,Redcurrants share the same plant family as gooseberries,TRUE,"In France, redcurrants can be used to make Lorraine jelly.",https://en.wikipedia.org/wiki/Redcurrant,redcurrants.jpg,"Image by <a href=""https://pixabay.com/users/pixel2013-2364555/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1667006"">S. Hermann &amp; F. Richter</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1667006"">Pixabay</a>"
Tomato,Solanaceae,"Botanically, tomatoes are fruit, but are recognised as culinary vegetables when it comes to cooking",TRUE,Tomatoes are indigenous to S. America and central America,https://en.wikipedia.org/wiki/Tomato,tomatoes.jpg,"Image by <a href=""https://pixabay.com/users/MabelAmber-1377835/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3520004"">Mabel Amber</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3520004"">Pixabay</a>"
Cucumber,Cucurbitaceae,Cucumbers have just 50% water,FALSE,Not all cucumbers cultivars require polination in order to fruit,https://en.wikipedia.org/wiki/Cucumber,cucumbers.jpg,"Image by <a href=""https://pixabay.com/users/krzys16-1195925/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=849269"">Krzysztof Jaracz</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=849269"">Pixabay</a>"
Melon,Cucurbitaceae ,Melons and cucumbers are part of the same plant family,TRUE,China is the biggest producer of melons on the world,https://en.wikipedia.org/wiki/Melon,melon.jpg,"Image by <a href=""https://pixabay.com/users/congerdesign-509903/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1524328"">congerdesign</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1524328"">Pixabay</a>"
Pumpkin,Cucurbitaceae ,Pumpkin pie is a traditional Thanksgiving meal in the US and Canada,TRUE,Pumpkin originates from the Greek word 'pepon' which describes something large and round. ,https://en.wikipedia.org/wiki/Pumpkin,pumpkin.jpg,"Image by <a href=""https://pixabay.com/users/JillWellington-334088/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3750036"">Jill Wellington</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3750036"">Pixabay</a>"
Grapefruit,Rutaceae,Vietnam is the largest producer of grapefruit,FALSE,"Grapefruits is known of one of the ""7 wonders of Barbados""",https://en.wikipedia.org/wiki/Grapefruit,grapefruit.jpg,"Image by <a href=""https://pixabay.com/users/Gert_Lapoehn-13589535/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=4468285"">Gert Lapoehn</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=4468285"">Pixabay</a>"
Lemon,Rutaceae,India is the largest producer of lemons,TRUE,Christopher Columbus introduced lemons to the Americas in the late 15th century,https://en.wikipedia.org/wiki/Lemon,lemon.jpg,"Image by <a href=""https://pixabay.com/users/JillWellington-334088/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=783352"">Jill Wellington</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=783352"">Pixabay</a>"
Lime,Rutaceae,Limes are rich in vitamin C,TRUE,"In the 19th Century, British sailors became known as limeys, as they consumed these to prevent scurvy, a disease derived from a lack of vitamin C.",https://en.wikipedia.org/wiki/Lime_(fruit),lime.jpg,"Image by <a href=""https://pixabay.com/users/congerdesign-509903/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2143600"">congerdesign</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2143600"">Pixabay</a>"
Orange,Rutaceae,Oranges originate from the mediterranean,FALSE,The sweet oranges we know today result from hybridising pomelos and mandarins,https://en.wikipedia.org/wiki/Orange_(fruit),orange.jpg,"Image by <a href=""https://pixabay.com/users/Hans-2/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1117628"">Hans Braxmeier</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1117628"">Pixabay</a>"
Blackberry,Rosaceae,Chile is the largest producer of blackberries,FALSE,Mexico is the biggest producer of blackberries in the world,https://en.wikipedia.org/wiki/Blackberry,blackberry.jpg,"Image by <a href=""https://pixabay.com/users/PublicDomainPictures-14/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2277"">PublicDomainPictures</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2277"">Pixabay</a>"
Raspberry,Rosaceae,Raspberries and Mulberries are part of the same plant family,FALSE,Russia is the biggest producer of raspberries in the world,https://en.wikipedia.org/wiki/Raspberry,raspberries.jpg,"Image by <a href=""https://pixabay.com/users/pixel2013-2364555/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2548827"">S. Hermann &amp; F. Richter</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2548827"">Pixabay</a>"
Fig,Moraceae,Female wasps can pollinate female figs when they climb inside,TRUE,Female wasps can become trapped in figs and lay their eggs within these,https://www.sciencefocus.com/nature/is-it-true-there-are-dead-wasps-in-figs/,fig.jpg,"Image by <a href=""https://pixabay.com/users/stux-12364/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=972271"">Thanks for your Like • donations welcome</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=972271"">Pixabay</a>"
Mulberry,Moraceae,Mulberries belong to the Rosaceae plant family,FALSE,Mulberry trees are known to grown to 80ft in height,https://en.wikipedia.org/wiki/Morus_(plant),mulberry.jpg,"Image by <a href=""https://pixabay.com/users/chulmin1700-15022416/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=4814434"">chulmin park</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=4814434"">Pixabay</a>"
Pineapple,Bromeliaceae,Pineapples are indigenous to S. America,TRUE,Wild pineapples are polinated by hummingbirds,https://en.wikipedia.org/wiki/Pineapple,pineapple.jpg,"Image by <a href=""https://pixabay.com/users/Pexels-2286921/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1850969"">Pexels</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1850969"">Pixabay</a>"
Apple,Rosaceae,"The flowers, precurcory to producing apples, have 6 petals",FALSE,"As one of his 12 labours, the mythical Greek hero, Heracles, picked golden apples from the Tree of Life in the Garden of the Hesperides.",https://en.wikipedia.org/wiki/Apple,apple.jpg,"Image by <a href=""https://pixabay.com/users/lumix2004-3890388/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1872997"">lumix2004</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1872997"">Pixabay</a>"
Rose hip,Rosaceae,Rose hips are not prodcued from roses,FALSE,"Rosehips from roses can be used to make herbal teas, jellies and marmalades",https://en.wikipedia.org/wiki/Rose_hip,rose_hips.jpg,"Image by <a href=""https://pixabay.com/users/hajninjah-182101/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=285436"">Hajnalka Mahler</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=285436"">Pixabay</a>"
Apricot,Rosaceae,Apricots are the national fruit of Armenia,TRUE,Turkey is the biggest producer of apricots in the world,https://en.wikipedia.org/wiki/Apricot,apricot.jpg,"Image by <a href=""https://pixabay.com/users/1010888-1010888/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=824626"">夏 沐沐</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=824626"">Pixabay</a>"
Strawberry,Rosaceae,The seeds on the inside of a strawberry are called achenes,FALSE,The seeds on the outside of strawberries are called achenes,https://en.wikipedia.org/wiki/Strawberry,strawberry.jpg,"Image by <a href=""https://pixabay.com/users/RitaE-19628/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1263099"">RitaE</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1263099"">Pixabay</a>"
